IMO;Design Speed (knots)
6204330;19
6096496;23
3029405;16.625
6175389;13
5843710;13.29108033
6096776;21.98295918
6185421;13.29108033
6130775;16.5
6130828;14.5
6138339;16
6126808;14
6140093;20
6140094;20.1
6138929;22
6143670;25
6152652;16
6140102;20.1
6152653;16
6164763;20
6164068;21.7
6166931;15.5
6166976;21.1
6150889;12
6147703;21
6157261;15
6162445;22
6186135;15
6148027;13.29108033
5984849;20
6171718;13
6168393;13.5
6168394;13.5
6168412;13.5
6174685;14
6175641;14
6162744;22
6166923;15.2
6176066;13.29108033
6204399;13.29108033
6208157;12
6208165;12
6206911;13
6219400;13.29108033
6157593;20.9871028
6175725;12.5
6172526;13.29108033
6143660;20.9871028
6151261;20.9871028
6153410;20.9871028
6147521;20.9871028
6159863;20.9871028
6183233;13
6185636;7.7
6215629;13.5
6191543;13.3
6180049;14.01548052
6192030;17
6192038;17
6192046;17
6192047;17
3029413;16.625
6203436;19
6203444;19
6229308;11.73571429
6230380;13.5
6230388;12.5
6207928;10.5
6220135;12
6189444;12
6216534;10.5
6232633;12
6199379;12.5
6221199;11
6199605;14
6204471;20
6200553;14.5
6204479;20.5
6209733;13.3
6045855;10
6204872;13
6204873;13
6204881;13
6234963;12.5
6234971;12.5
6226580;14.5
6226588;13
6201503;18.5
6205149;15
6221593;10
6209818;11.5
6179234;11.7
6175709;11.8
6168404;13.5
6213274;11
6218629;14.5
6218637;12
6205114;14
6213151;12
5845418;14.01548052
6219485;13.29108033
6208642;12.5
6224370;12
6237224;12
6237232;12
6237963;12
6213721;13
6205933;14.5
6206679;15
6225487;15
6205697;14.5
6200233;10
6189411;10
6206809;13.45
6206817;13.6
6164727;13.29108033
6220845;15
6218145;13.29108033
6222786;16
6210375;16.5
6210383;16.5
6269474;13.5
6202689;21.6
6227253;10
6227254;10
6215071;14.5
6218849;14
6212421;15
6213083;13.29108033
6222385;11.5
6234378;14
6172688;12
6172696;11.8
6212676;13.29108033
6212684;13.29108033
6215421;12
6215429;12
6213307;10.2
6213315;10.8
6241893;10
6204905;22
6212961;25
6212969;25
6212977;25
6239061;11
6217647;13.29108033
6217646;20
6252977;19.7
5845740;11.73571429
6179242;11.7
6232649;12
6218207;10
6225780;10.5
6217168;10
6235364;11
6230476;11
6231033;11
6218231;14.8
6222848;12
6214253;14.5
6213391;22
6201339;14.2
6215113;13.29108033
6213419;22
6213420;22
6159570;13.5
6215412;12.21954023
6215061;14
6241720;11.5
6214261;12.5
6214271;12.5
6219136;13
6228438;11.5
6219213;16.8
6215130;14.6
6215133;14.6
6215141;14
6223274;9.2
6214279;14
6214281;13
6214289;13
6214297;13
6217561;13.0798916
6220453;16
6235137;11.5
6236424;11.5
6246411;11.5
6251361;11.5
6245473;11
6297575;5
6254383;12
6254391;12
6219109;10
6223067;10.6
6245568;6.2
6170239;14
6251395;12
6238183;12
6238227;12
6238191;7
6229639;12.21954023
6237241;13.5
6204907;22
6204915;22
6204923;22
6215723;15
6215879;14
6227082;15
6227501;14.5
6387136;12.5
6233492;14
6233493;14
6243973;18.5
6222099;19.5
6220557;13.0798916
6223830;19.1
6241781;13.29108033
6222463;22
6237233;13.5
6222584;13.29108033
6222592;12
6222101;22.9
6243981;18.62916667
6227509;8.4
6224163;19.7
6213399;22.9
6206151;16
6254399;12
672815;20
6298166;13.29108033
6263161;11.5
6274479;11.5
6229571;12
6226086;12
6227456;12.21954023
6230686;18
6195689;13.7
5845748;11.73571429
6222394;20
6222404;20
6222412;20
6222413;20
6258267;13.29108033
6258275;13.29108033
6218516;14
6233501;11.5
6222359;16
6222361;16
6222369;15.5
6305361;11
6213383;19
6225495;15
6229177;16
6302374;13.0798916
6217655;20
6229987;13.29108033
6272267;19.7
6220021;21.6
6221220;13
6225763;16
6219537;13
6214776;12.5
6248799;14
6226867;13
6235381;10.5
6237971;10.5
6234231;13.29108033
6224179;25
6224171;25
6206159;16
6228755;21.5
6271160;11.5
6218621;13.5
6218645;13.5
6124425;21.98295918
6191535;13.3
6142485;13.0798916
6142494;15
6156184;14.5
6156193;15
6150391;16.5
6152744;13.0798916
6108421;18.62916667
6134516;14
6141023;15
6147711;20
6132626;21.98295918
6132627;21.98295918
6132635;21.98295918
6141006;21.98295918
6141007;21.98295918
6132618;21.98295918
6190512;13.29108033
6260203;12
6222535;15
6222543;15
6251072;10
6251062;10
6231487;10
6231495;10
6188982;15
6102021;21.98295918
6096784;21.98295918
6179250;12
6124433;21.98295918
6179258;12
6217716;13.29108033
6142400;13.0798916
6239799;13.29108033
6239802;13.29108033
6229856;16.5
6229864;16.5
6230607;18
6230615;19.25
6234918;16.5
6227440;13
6227448;13
6227863;12.5
6275369;20
6059816;13.29108033
6246997;13.29108033
6239454;8.8
6064782;13.29108033
6223492;14
6233787;24.5
6233795;24.5
6233805;24.5
6233813;24.5
6240034;13.29108033
6250759;11
6231349;13
5845729;11.73571429
6261105;17
6245498;11
6245506;11
6245507;11
6250522;10.5
6242487;9.6
6242495;13.9
6261682;12.5
6261690;12.5
6214784;12.5
6161385;12
6143435;8.4
6153063;10
6156855;10.9
6162620;13
6115099;20.9871028
6159855;20.9871028
6162497;15.2
6113033;20.9871028
6108429;18.62916667
6124871;16
6101799;8.2
6151271;20.9871028
6132237;20.9871028
6126971;13
6168300;13.6
6126979;12.7
6157532;11
6149201;5.4
6149411;13
6142940;13.29108033
6149403;13
6126945;8
6162611;13
6119310;12.8
6126927;13.2
6126937;13.2
6126996;11
6127006;13.2
6146073;6
6152777;13
6147519;20.9871028
671647;16
6185628;14.5
6092533;21.98295918
6140499;13.3
6162534;17.5
6165230;13.29108033
6175953;15
6178730;13.8
6178733;13.9
6178913;12.5
6178965;13.7
6185462;11
6186082;12.3
6187910;14
6219518;12
6117727;13.5
6158463;12
6241301;10
6183435;17
6237208;19.75
6224491;19.5
6224499;19.5
6232671;20
6232679;20
6226173;19.5
6228325;19.5
6128234;20.9871028
6128242;20.9871028
6196297;13.29108033
6156262;12
6164726;13.29108033
6248427;13
6244707;15.5
6234552;15
6234553;15
6250366;12.5
6250367;12.5
6239311;12
6242589;13
6249783;13
6249791;13
6249799;13
6249802;13.0798916
6247512;12.5
6247513;11
6247521;9.5
6247529;9.5
6247539;12.5
6247541;9.5
6247549;12.5
6247557;12.5
6213704;20.9871028
6241085;14
6241077;14.01548052
6239287;14
6274481;11.5
6334429;11.5
6217305;11.5
6217307;11.5
6240997;13.29108033
6241000;13.29108033
6230850;13.5
6230858;13.5
6218647;14.01548052
6239217;15
6240484;12.3
6233242;23
6237695;12
6234536;18
6234544;18
6225737;13
6225727;13
6274513;11
6229299;7.4
6239462;13.29108033
6246331;13.5
6247598;13.5
6246335;13.5
6242372;12
6242373;12
6242381;12
6242389;12
6242397;12
6242401;12
6242409;12
6254199;15
6238053;21.8
6238061;21.8
6238071;21.8
6238079;21.8
6238081;21.8
6247147;10.5
6255922;13.0798916
6243403;14
6220890;13
6220898;13
6220906;13
6220907;13
6233121;21.6
6222109;21
6222117;22.9
6245175;11.5
6245183;11.5
6250530;10.5
6246437;11.5
6236217;17.7
6236225;17.7
6262040;11.5
6218333;14
6237721;12
6241180;14.01548052
6243773;16
6264781;16
6238707;16
6238113;14.5
6262709;10
5845549;11.73571429
5845557;11.73571429
6246419;15
6246421;15
6265117;12.21954023
6240517;17
5845574;11.73571429
5845480;11.73571429
5844197;12
6230257;22
6230265;21
6256108;14
5845529;8
6195697;13.7
6221561;12
6221569;12
6241339;15.5
6241341;15.5
6240345;11
6248521;10.7
5845582;11.73571429
6237659;11
6140145;18
6154852;24
6154853;24
6188965;13.29108033
6190582;6.6
6232624;20
6232632;20
6212377;14
6247740;14.5
6195661;12.7
6225665;13.0798916
6212136;16
6158568;14
6175441;23.5
6175433;23.5
6335440;13.5
6237660;11
6260847;8
6243295;12
5845488;11.73571429
5845496;11.73571429
5845504;11.73571429
6237678;11
6237670;11
6237686;12
6250960;12
6250968;12
6250976;12
6208495;15
6170869;12
6176578;15
6132245;20.9871028
6172712;10.5
6146074;12
6210847;13.5
6215819;12
6204459;11.8
6146514;13.29108033
6179225;12
6208487;13.1
6150480;13.2
6192453;16.625
6162619;13.5
6185644;13.29108033
6179233;12.5
6215811;12
6161853;14
6164170;14
6166656;20
6172704;12
6204461;11.8
6178941;16
6172518;13.29108033
6104351;20.9871028
6230866;13.5
6240476;12.3
6233777;22
6233785;22
6250533;10.5
6244427;14.01548052
6244435;14.01548052
6341855;17
6372309;17
6260211;12.21954023
6240337;23
6232417;18.5
6232425;18
6273263;13.5
6268435;12.5
6252568;12
6293018;13.29108033
6232722;12
6243774;16
6264789;16
6244073;16
6245551;16
6244673;16
6236919;20
6222421;20
6241327;20
6252429;12
6136817;16.625
6255445;13.5
6255447;14.5
6258491;13.0798916
6250541;10.5
6256507;13
5846036;11.73571429
6250055;10.5
6298521;10.5
5846271;10
6334611;12.7
6254907;13.1
6252482;14.5
6252490;14.5
6237711;11.5
6237719;12
6250074;14.5
6245321;10.5
6245329;10.5
6245335;10.5
6245343;10.5
6275873;15.5
6248601;16
6273117;16
6249507;16
6245715;11.5
6245723;11.5
6245731;11.5
6245734;11.5
6245742;11.5
6205705;14.5
6239861;22.87
6239871;22.99
6221107;19.5
6221115;19.5
6240719;18.52122302
6246599;19.5
6246603;19.5
6235240;19.5
6237069;19.5
6239295;16.5
6262195;14.5
6255210;15
6253479;13.9
6253481;13.9
6296051;13.5
6296059;13.5
6250812;12
6250804;13
6250794;12
6250813;12
6251621;13.5
6251872;13.5
6251881;13.5
6251889;13.5
6325877;13
6325885;13
6248365;16
6248373;16
6248374;16
6248357;11.5
6260497;13
6312387;12
6281345;13.5
6255421;14.5
6254915;14.9
6254923;14.9
6265364;12
6125358;20.9871028
6141633;17
6240686;14.5
6240687;14.3
6248723;11.73571429
6246255;12
6246263;13.29108033
6246273;13.29108033
6246274;13.29108033
6255629;12.21954023
6333217;14
6320273;15.5
5982091;19
6257863;13.29108033
6251873;13.5
6254418;13.5
6254426;13.5
6254427;13.5
6291025;13.29108033
6291033;13.29108033
6234561;15
5843291;11.73571429
5845842;7
5845850;7
6316961;13.29108033
6262048;11.5
6311074;14
6355241;12
6250549;10.5
6250557;10.5
6255437;18
6126279;20.9871028
6255560;13.7
6255568;14
6324797;13.5
6324801;13.5
6262629;12.21954023
6262637;12
6278196;13.29108033
6259048;13.29108033
6234317;28.5
6234325;28.5
6250565;10.5
6241687;24
6249679;27
6252455;27
6329925;13
6288808;20.8
5846028;7
6319796;16
6319806;13.5
6441571;14.01548052
6441579;13
6250090;15
6250098;15
6257159;13.5
6257160;13.5
6250436;25
6248803;12
6255455;14.5
6255463;14
6255473;12
6243303;12
6355249;13.5
6240525;17
6274514;11
6274522;11
6274533;11
6274549;11
6274557;11
6248451;22
6248459;21
6292089;13.5
6291911;20.3
6278057;11.1
6236189;24.5
6248349;11.5
6314533;13.0798916
6130133;20.9871028
6130130;20.9871028
6152229;20.9871028
6152237;20.9871028
6128266;20.9871028
6128258;20.9871028
6126281;20.9871028
6334985;12
6245559;16
6245560;16
6256323;15
6278033;10
6281305;10
6344713;12.21954023
6344721;12.21954023
6344729;12.21954023
6251966;15
6282561;15
6312806;11.7
6290209;10
6290217;12.21954023
6335536;10
6332114;12.21954023
6267342;13.29108033
6268271;15
6268261;15
6362942;17
6248141;12.5
6262523;11
6274367;12
6274984;18
6274992;18
6269141;15.5
6252308;21.6
6262222;13.5
6262230;13.5
6282438;13
6282446;13
6282447;13
6285102;13.9
6285110;13.9
6258049;23
6264431;10.5
6264439;10.5
6289127;10.5
6306412;10.5
6286805;12.21954023
