imo;speed 0.0 - 0.5;speed 0.5 - 1.0;speed 1.0 - 1.5;speed 1.5 - 2.0;speed 2.0 - 2.5;speed 2.5 - 3.0;speed 3.0 - 3.5;speed 3.5 - 4.0;speed 4.0 - 4.5;speed 4.5 - 5.0;speed 5.0 - 5.5;speed 5.5 - 6.0;speed 6.0 - 6.5;speed 6.5 - 7.0;speed 7.0 - 7.5;speed 7.5 - 8.0;speed 8.0 - 8.5;speed 8.5 - 9.0;speed 9.0 - 9.5;speed 9.5 - 10.0;speed 10.0 - 10.5;speed 10.5 - 11.0;speed 11.0 - 11.5;speed 11.5 - 12.0;speed 12.0 - 12.5;speed 12.5 - 13.0;speed 13.0 - 13.5;speed 13.5 - 14.0;speed 14.0 - 14.5;speed 14.5 - 15.0;speed 15.0 - 15.5;speed 15.5 - 16.0;speed 16.0 - 16.5;speed 16.5 - 17.0;speed 17.0 - 17.5;speed 17.5 - 18.0;speed 18.0 - 18.5;speed 18.5 - 19.0;speed 19.0 - 19.5;speed 19.5 - 20.0;speed 20.0 - 20.5;speed 20.5 - 21.0;speed 21.0 - 21.5;speed 21.5 - 22.0;speed 22.0 - 22.5;speed 22.5 - 23.0;speed 23.0 - 23.5;speed 23.5 - 24.0;speed 24.0 - 24.5;speed 24.5 - 25.0;speed 25.0 - 25.5;speed 25.5 - 26.0;speed 26.0 - 26.5;speed 26.5 - 27.0;speed 27.0 - 27.5;speed 27.5 - 28.0;speed 28.0 - 28.5;speed 28.5 - 29.0;speed 29.0 - 29.5;speed 29.5 - 30.0;speed >30.0
6285617;0.3368;0.0257;0.0052;0.0023;0.0025;0.0031;0.0022;0.0025;0.0047;0.0026;0.0037;0.0022;0.0026;0.0044;0.0044;0.0051;0.0051;0.0071;0.0067;0.0057;0.0081;0.0142;0.0217;0.0378;0.0409;0.0538;0.0681;0.0681;0.076;0.0854;0.0548;0.0272;0.0057;0.0015;0.0015;0.0003;0.0004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6275430;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6292666;0.7933;0.0099;0.0141;0.0209;0.0237;0.0284;0.0239;0.0189;0.0176;0.0141;0.0112;0.0076;0.0064;0.0038;0.0024;0.0018;0.0007;0.0004;0.0003;0.0001;0.0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6292672;0.7852;0.0132;0.0231;0.0374;0.0311;0.0267;0.0226;0.0173;0.0122;0.007;0.0069;0.0053;0.003;0.0018;0.002;0.0014;0.0008;0.0007;0.0007;0.0001;0.0004;0.0003;0.0004;0.0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6209157;0.4251;0.0046;0.0015;0.0018;0.002;0.0029;0.0018;0.0026;0.0034;0.0042;0.0059;0.0114;0.0151;0.0206;0.0288;0.0431;0.0576;0.0948;0.105;0.0788;0.0493;0.018;0.0104;0.0059;0.0037;0.0013;0.0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6285171;0.5447;0.0655;0.0503;0.045;0.0279;0.0201;0.018;0.0224;0.022;0.0194;0.0202;0.031;0.0292;0.013;0.0081;0.0033;0.0041;0.0022;0.0032;0.0073;0.0155;0.0089;0.0036;0.0037;0.0024;0.0045;0.0037;0.0009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6279178;0.3447;0.2596;0.11;0.0435;0.0363;0.0298;0.0194;0.0088;0.0067;0.0039;0.0048;0.0062;0.0063;0.0103;0.0171;0.0234;0.0258;0.0235;0.0128;0.0037;0.0025;0.0002;0.0006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6363113;0.1791;0.307;0.1469;0.0466;0.0546;0.0576;0.0719;0.0574;0.0305;0.0149;0.0071;0.0059;0.0064;0.0043;0.0025;0.0019;0.0014;0.0017;0.0012;0.0006;0.0003;0;0;0;0.0001;0;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6370263;0.9117;0.0234;0.0044;0.0042;0.0037;0.0096;0.0079;0.0049;0.0037;0.0017;0.002;0.0017;0.0022;0.0027;0.0037;0.0035;0.0042;0.001;0.0015;0.0007;0.0005;0.0002;0.0005;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6370275;0.7962;0.1083;0.0127;0.0318;0;0.0064;0;0.0127;0.0064;0.0064;0;0.0064;0.0064;0.0064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
